what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1483067686242
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1483067696952
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1483067709304
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1483067725494
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483067728221
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483067739929
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1483067744561
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483067745841
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483067763181
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1483067768173
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1483067774034
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483067793255
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483067801471
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1483067816423
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483067817392
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483067829211
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1483067832659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483067833401
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483067840592
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1483067843643
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483067844500
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483067852591
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1483067863253
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483067864319
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483067881982
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1483067891282
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483067892674
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483067912962
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1483067919722
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483067920575
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483067924576
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1483067929430
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483067930073
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483067938515
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1483067943546
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483067944407
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483067955274
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1483067960504
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483067961111
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483067967489
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1483067970670
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483067971420
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483068097223
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483068146518
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483068153296
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1483068154486
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1483068221007
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1483068222259
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1483068223820
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1483068370437
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483068375412
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483068402014
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1483068405729
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1483068409739
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1483068418074
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483068419765
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483068534918
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1483068548612
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1483068576372
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483068577258
